day,pdf,cdf
238.00,0.000032,0.000000
238.25,0.000037,0.000009
238.50,0.000043,0.000019
238.75,0.000050,0.000030
239.00,0.000058,0.000044
239.25,0.000067,0.000060
239.50,0.000078,0.000078
239.75,0.000089,0.000099
240.00,0.000101,0.000122
240.25,0.000115,0.000149
240.50,0.000130,0.000180
240.75,0.000147,0.000215
241.00,0.000165,0.000254
241.25,0.000184,0.000297
241.50,0.000205,0.000346
241.75,0.000228,0.000400
242.00,0.000253,0.000460
242.25,0.000279,0.000527
242.50,0.000306,0.000600
242.75,0.000336,0.000680
243.00,0.000366,0.000768
243.25,0.000399,0.000864
243.50,0.000433,0.000968
243.75,0.000469,0.001080
244.00,0.000507,0.001202
244.25,0.000546,0.001334
244.50,0.000586,0.001475
244.75,0.000628,0.001627
245.00,0.000672,0.001790
245.25,0.000717,0.001964
245.50,0.000764,0.002149
245.75,0.000812,0.002346
246.00,0.000862,0.002555
246.25,0.000913,0.002777
246.50,0.000966,0.003012
246.75,0.001020,0.003260
247.00,0.001076,0.003522
247.25,0.001134,0.003798
247.50,0.001194,0.004089
247.75,0.001255,0.004395
248.00,0.001319,0.004717
248.25,0.001384,0.005055
248.50,0.001452,0.005409
248.75,0.001522,0.005781
249.00,0.001594,0.006171
249.25,0.001669,0.006578
249.50,0.001746,0.007005
249.75,0.001826,0.007452
250.00,0.001909,0.007919
250.25,0.001995,0.008407
250.50,0.002084,0.008917
250.75,0.002176,0.009450
251.00,0.002272,0.010006
251.25,0.002370,0.010586
251.50,0.002472,0.011191
251.75,0.002578,0.011823
252.00,0.002687,0.012481
252.25,0.002800,0.013167
252.50,0.002917,0.013882
252.75,0.003038,0.014626
253.00,0.003162,0.015401
253.25,0.003291,0.016208
253.50,0.003423,0.017047
253.75,0.003560,0.017920
254.00,0.003700,0.018828
254.25,0.003845,0.019771
254.50,0.003995,0.020751
254.75,0.004148,0.021769
255.00,0.004306,0.022826
255.25,0.004469,0.023923
255.50,0.004635,0.025061
255.75,0.004807,0.026241
256.00,0.004983,0.027465
256.25,0.005164,0.028733
256.50,0.005349,0.030047
256.75,0.005539,0.031408
257.00,0.005734,0.032818
257.25,0.005934,0.034276
257.50,0.006139,0.035786
257.75,0.006349,0.037347
258.00,0.006564,0.038961
258.25,0.006784,0.040629
258.50,0.007009,0.042354
258.75,0.007239,0.044135
259.00,0.007475,0.045974
259.25,0.007715,0.047873
259.50,0.007961,0.049833
259.75,0.008212,0.051855
260.00,0.008468,0.053940
260.25,0.008730,0.056090
260.50,0.008996,0.058306
260.75,0.009268,0.060589
261.00,0.009545,0.062940
261.25,0.009826,0.065362
261.50,0.010113,0.067855
261.75,0.010404,0.070419
262.00,0.010701,0.073058
262.25,0.011002,0.075771
262.50,0.011307,0.078559
262.75,0.011618,0.081425
263.00,0.011932,0.084369
263.25,0.012251,0.087392
263.50,0.012575,0.090496
263.75,0.012902,0.093681
264.00,0.013233,0.096948
264.25,0.013568,0.100298
264.50,0.013907,0.103733
264.75,0.014250,0.107253
265.00,0.014596,0.110858
265.25,0.014945,0.114551
265.50,0.015297,0.118332
265.75,0.015652,0.122200
266.00,0.016009,0.126158
266.25,0.016369,0.130206
266.50,0.016732,0.134344
266.75,0.017096,0.138573
267.00,0.017462,0.142893
267.25,0.017830,0.147304
267.50,0.018199,0.151808
267.75,0.018569,0.156405
268.00,0.018940,0.161094
268.25,0.019312,0.165875
268.50,0.019683,0.170750
268.75,0.020055,0.175718
269.00,0.020426,0.180778
269.25,0.020797,0.185932
269.50,0.021167,0.191177
269.75,0.021536,0.196516
270.00,0.021903,0.201946
270.25,0.022269,0.207468
270.50,0.022633,0.213081
270.75,0.022994,0.218785
271.00,0.023353,0.224578
271.25,0.023709,0.230462
271.50,0.024062,0.236433
271.75,0.024412,0.242493
272.00,0.024758,0.248639
272.25,0.025100,0.254872
272.50,0.025438,0.261189
272.75,0.025771,0.267591
273.00,0.026100,0.274075
