id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,home_team,away_team
584630,19,MissedShots,0.970999984741211,0.6730000305175782,0.0500783920288085,Bruno Fernandes,h,1228,OpenPlay,2024,LeftFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Lisandro Martínez,Chipped,Manchester United,Fulham
584631,26,MissedShots,0.7469999694824219,0.479000015258789,0.020807035267353,Casemiro,h,2248,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Mason Mount,Pass,Manchester United,Fulham
584632,28,SavedShot,0.9130000305175782,0.3459999847412109,0.257691740989685,Bruno Fernandes,h,1228,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Casemiro,Pass,Manchester United,Fulham
584633,33,SavedShot,0.9130000305175782,0.4629999923706054,0.4701629877090454,Bruno Fernandes,h,1228,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Casemiro,Pass,Manchester United,Fulham
584634,36,MissedShots,0.958000030517578,0.5990000152587891,0.018058942630887,Casemiro,h,2248,FromCorner,2024,Head,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Amad Diallo Traore,Aerial,Manchester United,Fulham
584635,41,MissedShots,0.8080000305175781,0.4479999923706054,0.0707398951053619,Casemiro,h,2248,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,,TakeOn,Manchester United,Fulham
584638,52,SavedShot,0.9280000305175782,0.5629999923706055,0.4662234783172607,Mason Mount,h,7768,OpenPlay,2024,LeftFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,,None,Manchester United,Fulham
584639,54,BlockedShot,0.78,0.5629999923706055,0.0335659049451351,Bruno Fernandes,h,1228,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,,BallRecovery,Manchester United,Fulham
584640,55,MissedShots,0.7880000305175782,0.575,0.0299256443977355,Kobbie Mainoo,h,11174,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Mason Mount,Pass,Manchester United,Fulham
584642,65,BlockedShot,0.7759999847412109,0.49,0.0317810773849487,Bruno Fernandes,h,1228,OpenPlay,2024,LeftFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Casemiro,Pass,Manchester United,Fulham
